,occupation,age,direct_correlation,indirect_correlation,same_correlation
135,air traffic controller,34,1.2353578243392658,0.3070254034712748,True
136,air traffic controller,35,1.0850473989475191,0.2651154873747528,True
137,air traffic controller,36,1.0707339929148108,0.25823804925774524,True
138,air traffic controller,37,1.2700466765316905,0.2418822640657928,True
139,air traffic controller,38,1.2256853635631717,0.30071212534006203,True
140,air traffic controller,39,1.2779017970955335,0.2359340567601119,True
141,air traffic controller,40,0.6434364920130704,0.04818831772286656,True
142,air traffic controller,41,1.3091976341122988,0.2973158140384697,True
143,air traffic controller,42,1.1712886990887352,0.24785979423954316,True
144,air traffic controller,43,1.310492815042276,0.2548252813352649,True
145,air traffic controller,44,1.3920153061968359,0.22857654098940794,True
146,air traffic controller,45,1.1097182625259099,0.22164202608132624,True
147,air traffic controller,46,1.2177719793764754,0.2630031190203953,True
148,air traffic controller,47,1.0763438628350102,0.21009397368158972,True
149,air traffic controller,48,0.9099590051064382,0.17773572002723434,True
150,air traffic controller,49,1.1763340223902023,0.16552422231435113,True
151,air traffic controller,50,0.4229340382777959,-0.02926134485941552,False
152,air traffic controller,51,1.222271572236455,0.17799359309090024,True
153,air traffic controller,52,0.954047527362772,0.10448545490413357,True
154,air traffic controller,53,1.08645242362974,0.14328070156737605,True
155,air traffic controller,54,0.9513481354166382,0.1471977145484802,True
156,air traffic controller,55,1.1439081809945175,0.13647037065918294,True
157,air traffic controller,56,0.969460970600136,0.15093164223471908,True
158,air traffic controller,57,0.9294335040804076,0.12660010583628095,True
159,air traffic controller,58,0.8937479501650598,0.1318800513316169,True
160,air traffic controller,59,0.8807511396573701,0.13119586952789594,True
161,air traffic controller,60,0.09952611918825498,-0.041037374011026216,False
162,air traffic controller,61,0.8474096892010641,0.12188335926729126,True
163,air traffic controller,62,0.5537944033337537,0.10513208241012778,True
164,air traffic controller,63,0.5653584846222199,0.07141043317412264,True
165,air traffic controller,64,0.4346112007761957,0.013139654733410205,True
166,air traffic controller,65,0.4072167161724269,-0.009821045586480791,False
167,air traffic controller,66,0.5243096881990057,-0.01451988624581294,False
168,air traffic controller,67,0.375184615136445,0.03327511511156054,True
169,air traffic controller,68,0.3029091516352225,0.03492156622379482,True
170,air traffic controller,69,0.26154541744228765,0.001896368395911214,True
171,air traffic controller,70,-0.4986945978271068,-0.13195776668233372,True
172,air traffic controller,71,0.03876011197576172,0.06174750359609948,True
173,air traffic controller,72,-0.5356272710884343,-0.10799924321413794,True
174,air traffic controller,73,-0.06950038447809426,0.0015508861995071376,False
175,air traffic controller,74,-0.3379169839827258,0.001880055725663559,False
176,air traffic controller,75,-0.5779948742378852,-0.049175165391562116,True
177,air traffic controller,76,-0.4442204051505866,0.031082106055174964,False
178,air traffic controller,77,-0.4909324823977442,-0.01265372944106105,True
179,air traffic controller,78,-0.3545786798422024,0.0019597285513522178,False
180,air traffic controller,79,-0.507488339765223,-0.023356205690607947,True
181,air traffic controller,80,-1.195764221667865,-0.1388384733178373,True
182,air traffic controller,81,-0.6548636424059332,-0.011662202105316823,True
183,air traffic controller,82,-0.6235458687136796,-0.03964338818547737,True
184,air traffic controller,83,-0.6562108002142539,0.017839615712860118,False
185,air traffic controller,84,-0.8589796891309305,-0.07385081585977754,True
186,air traffic controller,85,-0.8391205302053312,-0.023418335942198217,True
187,air traffic controller,86,-0.8202452656855559,-0.03485166216974234,True
188,air traffic controller,87,-1.0170403354120507,-0.05364533442494343,True
189,air traffic controller,88,-1.0594305402348714,-0.11361564679426635,True
